sample_id,side,region_id,region_name,sample_point_count,expected_point_count,remesh_face_count,raw_unmapped_count,raw_status,repaired_unmapped_count,repair_count,repair_applied,flipped_faces,degenerate_faces,patch_face_count,mesh_exported,mesh_path,status
T097,L,T001,test,325,325,576,3,WARNING,0,3,True,0,0,4006,True,output\remesh_r24\repaired\T097_L\T001_remesh_repaired.ply,PASS
T097,L,T002,test,325,325,576,1,WARNING,0,1,True,28481,0,28481,True,output\remesh_r24\repaired\T097_L\T002_remesh_repaired.ply,PASS
T097,L,T003,test,325,325,576,6,WARNING,0,6,True,0,0,2227,True,output\remesh_r24\repaired\T097_L\T003_remesh_repaired.ply,PASS
T097,L,T004,test,325,325,576,11,WARNING,0,11,True,2996,0,2996,True,output\remesh_r24\repaired\T097_L\T004_remesh_repaired.ply,PASS
T097,L,T005,test,325,325,576,0,PASS,0,0,False,0,0,3123,True,output\remesh_r24\repaired\T097_L\T005_remesh_repaired.ply,PASS
T097,L,T006,test,325,325,576,1,WARNING,0,1,True,4179,0,4179,True,output\remesh_r24\repaired\T097_L\T006_remesh_repaired.ply,PASS
T097,L,T007,test,325,325,576,0,PASS,0,0,False,0,0,1494,True,output\remesh_r24\repaired\T097_L\T007_remesh_repaired.ply,PASS
T097,L,T008,test,325,325,576,2,WARNING,0,2,True,0,0,17366,True,output\remesh_r24\repaired\T097_L\T008_remesh_repaired.ply,PASS
T097,L,T009,test,325,325,576,3,WARNING,0,3,True,2387,0,2387,True,output\remesh_r24\repaired\T097_L\T009_remesh_repaired.ply,PASS
T097,L,T010,test,325,325,576,4,WARNING,0,4,True,0,0,3032,True,output\remesh_r24\repaired\T097_L\T010_remesh_repaired.ply,PASS
T097,L,T011,test,325,325,576,0,PASS,0,0,False,13565,0,13565,True,output\remesh_r24\repaired\T097_L\T011_remesh_repaired.ply,PASS
T097,L,T012,test,325,325,576,4,WARNING,0,4,True,0,0,2093,True,output\remesh_r24\repaired\T097_L\T012_remesh_repaired.ply,PASS
T097,L,T013,test,325,325,576,1,WARNING,0,1,True,7693,0,7693,True,output\remesh_r24\repaired\T097_L\T013_remesh_repaired.ply,PASS
T097,L,T014,test,325,325,576,0,PASS,0,0,False,0,0,7577,True,output\remesh_r24\repaired\T097_L\T014_remesh_repaired.ply,PASS
T097,L,T015,test,325,325,576,12,WARNING,0,12,True,2108,0,2108,True,output\remesh_r24\repaired\T097_L\T015_remesh_repaired.ply,PASS
